threshold,overall_precision,overall_recall,overall_f1,en_f1,es_f1,it_f1
0.05,0.576183695265219,0.5349609375,0.19757351082652289,0.1056819699021534,0.27926616988401887,0.21223774403470716
0.1,0.5836897574171901,0.5902380257009345,0.29939954940719526,0.15673983871933228,0.39295214776846943,0.35411273922151043
0.15000000000000002,0.594062867938182,0.6447338639018692,0.38723951292424,0.20472756219738247,0.4671611898227135,0.49261724177984656
0.2,0.6033976047933709,0.6914391063084112,0.4635528126055931,0.2683936588966111,0.5156671093502554,0.608970426434354
0.25,0.6139027618096333,0.7274058119158878,0.5221164899521404,0.3101844578434348,0.5566801619433198,0.7076558630343491
0.3,0.6268011269140334,0.7582980432242992,0.5739321483873093,0.3642406489409644,0.5987536387360402,0.7774134043861447
0.35000000000000003,0.6343264625095716,0.7683356454439252,0.6106023927498005,0.3998216736838457,0.6366985150224473,0.827064222397012
0.4,0.6460514724887513,0.7779716705607476,0.6442514896662436,0.4446935135225246,0.6667178395263618,0.8598694917128817
0.45,0.6530723446207998,0.7743410484813085,0.6639186127375104,0.4722290874131291,0.6937127193135808,0.8664427566377874
0.5,0.6617990654205608,0.7679797021028038,0.6811311945574602,0.5061131546680679,0.7145317475199668,0.8540322580645161
0.55,0.66802452912834,0.7468220648364485,0.6901521545277222,0.5193056637365083,0.7372136512388967,0.8355455593156578
0.6000000000000001,0.6716113554578169,0.7271977219626169,0.6910358971477535,0.5257668871412947,0.7442998215739317,0.8132638484736258
0.6500000000000001,0.6755180803758705,0.7062061915887851,0.6883523572161602,0.5311092250440687,0.748877209746775,0.7855167873601053
0.7000000000000001,0.6889551437013162,0.6926146320093458,0.6907517298418624,0.543698589894242,0.7561469705511512,0.7640296296296296
0.7500000000000001,0.6890474236129724,0.6647981162383177,0.6754173681257014,0.5466439377796718,0.7382784270965534,0.7310368118878757
0.8,0.6978470675575352,0.6430180344626168,0.6628702363164538,0.5565578188400638,0.7228555887348335,0.695478443743428
0.8500000000000001,0.7021573052036323,0.6085827978971963,0.6325196776611695,0.5276700911029268,0.6999551614188919,0.650174517223382
0.9000000000000001,0.7094612651311948,0.5772579585280374,0.5966119516326889,0.5280656614296597,0.6631648333539324,0.5847505496510911
0.9500000000000001,0.7202872884691066,0.5490435163551401,0.5556826500732064,0.5257674608855711,0.6079459798994975,0.5314637904468413
